State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,4.86,4.38,4.45,4.29,4.27,4.33,4.25,4.49,4.53,4.5,3.84,4.2,4.5,4.31,4.27
Alaska,5.67,5.9,5.65,5.98,6.32,6.32,6.88,6.61,6.52,6.33,6.35,6.1,6.04,6.39,6.36
Arizona,5.32,5.4,5.55,5.13,5.04,5.12,5.43,5.18,4.86,4.27,4.14,4.14,4.29,4.16,4
Arkansas,4.45,4.52,4.25,4.56,5.02,5.28,5.53,5.37,5.13,5.16,5.04,4.82,4.7,4.63,4.8
California,6.22,6.15,5.95,5.8,5.28,5.26,5.34,5.24,5.04,4.73,4.4,4.11,4.24,4.03,3.96
Colorado,3.34,3.5,3.53,3.47,3.72,3.97,3.95,3.52,3.54,3.39,3.24,3.14,3.07,3.05,3.09
Connecticut,3.25,3.35,3.13,3.17,2.89,2.73,3,3.01,3.07,3.01,2.82,2.76,2.84,2.62,2.37
Delaware,6.84,6.11,6,6.75,6.15,6.33,7.01,7.05,7.09,6.45,6.23,5.66,5.51,5.01,4.89
District of Columbia,15.08,16.02,16.38,16.25,13.69,13.8,15.08,14.15,14.38,13.49,13.27,12.01,12.42,12.96,12.44
Florida,8.12,7.98,7.71,7.31,7.12,7.09,7.16,7.23,6.89,6.13,5.41,5.15,4.87,4.69,5.41
Georgia,5.05,4.96,4.6,4.55,4.51,4.46,4.78,4.92,4.89,4.28,4.02,3.75,3.8,3.75,3.77
Hawaii,2.44,2.54,2.63,2.72,2.55,2.56,2.81,2.76,2.73,2.74,2.64,2.51,2.43,2.54,2.59
Idaho,2.53,2.43,2.55,2.46,2.47,2.57,2.5,2.56,2.42,2.46,2.21,2.02,2.1,2.15,2.12
Illinois,6.54,6.33,6.02,5.56,5.46,5.52,5.42,5.33,5.25,4.97,4.45,4.24,4.16,4.03,3.7
Indiana,3.49,3.71,3.57,3.52,3.26,3.24,3.22,3.36,3.38,3.34,3.23,3.32,3.45,3.6,3.65
Iowa,2.66,2.68,2.86,2.78,2.88,2.93,2.86,3,2.88,2.82,2.69,2.57,2.66,2.73,2.74
Kansas,3.89,4.04,3.77,3.98,3.78,3.89,4.33,4.59,4.12,4.07,3.71,3.56,3.57,3.43,3.49
Kentucky,2.95,2.58,2.71,2.49,2.45,2.67,2.7,2.91,2.97,2.55,2.44,2.4,2.25,2.11,2.12
Louisiana,6.81,6.86,6.63,6.37,6.4,5.97,7.21,7.4,6.71,6.43,5.55,5.55,4.96,5.21,5.15
Maine,1.1,1.12,1.08,1.09,1.04,1.12,1.16,1.19,1.19,1.2,1.22,1.23,1.22,1.33,1.28
Maryland,7.87,7.81,7.71,7.04,7.01,7.04,6.79,6.42,6.28,5.9,5.46,4.94,4.77,4.75,4.46
Massachusetts,4.76,4.78,4.85,4.73,4.6,4.61,5.01,4.42,4.64,4.63,4.69,4.27,4.07,4.06,3.91
Michigan,5.55,5.54,5.41,5.11,4.92,5.54,5.64,5.34,5.15,5,4.93,4.43,4.55,4.52,4.27
Minnesota,2.81,2.64,2.67,2.63,2.7,2.97,3.11,2.9,2.65,2.45,2.36,2.31,2.31,2.34,2.29
Mississippi,3.61,3.5,3.44,3.24,2.95,2.8,3.12,2.91,3.04,2.86,2.69,2.69,2.6,2.78,2.79
Missouri,4.9,5.41,5.39,4.91,4.9,5.26,5.46,5.61,5.02,4.93,4.58,4.48,4.51,4.34,4.43
Montana,3.11,3.52,3.51,3.65,2.94,2.82,3.77,3.8,3.11,2.87,2.76,2.76,2.79,2.88,3.24
Nebraska,3.28,3.03,3.14,2.94,3.09,2.87,2.94,3.11,3.12,2.89,2.78,2.54,2.59,2.65,2.8
Nevada,5.24,5.89,6.39,6.16,6.16,6.08,7.49,7.55,7.3,7.05,6.63,5.68,6.09,6.05,6.36
New Hampshire,1.75,1.7,1.61,1.5,1.7,1.35,1.39,1.44,1.56,1.6,1.67,2.17,2.15,2.23,1.96
New Jersey,3.84,3.89,3.76,3.64,3.56,3.55,3.5,3.29,3.27,3.11,3.08,3.08,2.9,2.89,2.61
New Mexico,7.58,7.8,7.41,6.67,6.87,6.46,6.55,6.76,6.54,6.32,5.88,5.73,5.6,6.23,5.97
New York,5.54,5.14,4.97,4.66,4.4,4.44,4.35,4.14,3.98,3.84,3.94,3.97,4.06,3.94,3.82
North Carolina,4.98,4.93,4.71,4.54,4.48,4.69,4.75,4.66,4.68,4.05,3.63,3.46,3.54,3.41,3.3
North Dakota,0.81,0.79,0.78,0.8,0.88,1.11,1.97,2.1,2.25,2.66,2.3,2.48,2.46,2.73,2.65
Ohio,3.34,3.51,3.52,3.34,3.39,3.5,3.62,3.55,3.52,3.32,3.15,3.05,3.02,2.91,2.85
Oklahoma,4.98,5.11,5.04,5.06,5.01,5.09,5,5.04,5.32,5.03,4.81,4.58,4.74,4.46,4.06
Oregon,3.51,3.07,2.93,2.95,2.99,2.87,2.85,2.94,2.61,2.61,2.51,2.49,2.47,2.43,2.32
Pennsylvania,4.2,4.1,4.02,3.98,4.12,4.25,4.42,4.17,4.1,3.82,3.67,3.62,3.56,3.35,3.14
Rhode Island,2.98,3.09,2.86,2.86,2.48,2.52,2.3,2.29,2.53,2.54,2.57,2.46,2.53,2.57,2.19
South Carolina,8.28,8.15,8.23,8.06,7.9,7.67,7.71,7.86,7.31,6.75,6.02,5.97,5.61,5.09,4.98
South Dakota,1.67,1.54,1.78,1.74,1.71,1.79,2.65,2.42,2.77,2.19,2.69,2.56,3.24,3.23,3.27
Tennessee,7.07,7.44,7.18,6.91,6.98,7.57,7.63,7.55,7.23,6.66,6.12,6.08,6.39,5.86,6.08
Texas,5.45,5.72,5.8,5.53,5.41,5.28,5.17,5.1,5.08,4.91,4.48,4.09,4.09,4.1,4.06
Utah,2.56,2.33,2.37,2.5,2.33,2.25,2.26,2.4,2.25,2.15,2.14,1.97,2.08,2.29,2.16
Vermont,1.14,1.05,1.07,1.14,1.15,1.26,1.45,1.29,1.38,1.35,1.31,1.48,1.42,1.24,0.99
Virginia,2.82,2.91,2.92,2.78,2.76,2.83,2.84,2.73,2.58,2.31,2.14,1.98,1.92,1.98,1.96
Washington,3.7,3.55,3.46,3.47,3.44,3.46,3.49,3.37,3.34,3.36,3.14,2.95,2.98,2.9,2.85
West Virginia,3.17,2.8,2.34,2.55,2.82,2.74,2.81,2.77,2.76,3.05,3.01,2.96,3.2,3.05,3.02
Wisconsin,2.37,2.31,2.25,2.21,2.1,2.42,2.86,2.92,2.76,2.59,2.49,2.5,2.84,2.81,2.9
Wyoming,2.67,2.58,2.73,2.62,2.3,2.3,2.54,2.57,2.5,2.2,1.98,2.19,2.01,2.08,1.96
