State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,3.54,3.52,3.76,3.73,3.66,3.72,3.8,4.22,4.45,4,4.09,4.26,4.35,4.73,4.23
Alaska,5.28,5.74,5.28,5.18,5.51,5.59,5.64,6.3,6.4,6.16,5.78,5.74,6.36,7.25,6.76
Arizona,3.98,4.27,3.97,4.12,4.38,4.52,4.67,4.72,4.69,4.57,4.69,4.86,4.7,5.26,4.93
Arkansas,2.97,3.33,3.24,3.2,3.5,3.67,3.71,4.08,3.96,3.65,3.86,4.13,3.9,3.94,4.49
California,4.68,4.73,4.74,4.93,4.92,5.18,5.53,5.57,5.7,5.61,5.43,5.34,5.7,6.08,6.05
Colorado,4.82,4.94,4.83,4.99,5.09,5.04,5.57,6.11,6.09,5.59,6.02,5.86,5.73,6.79,6.09
Connecticut,5.02,5.33,5.34,5.5,5.51,5.68,6.24,6.41,6.47,6.49,6.6,6.54,6.42,6.93,7.02
Delaware,5.04,4.96,4.97,4.9,4.8,5.12,5.24,5.46,5.07,5.21,5.52,5.47,4.9,5.41,5.75
D.C.,4.12,4.12,3.91,4.5,4.35,4.5,4.85,5.08,5.56,5.31,5.69,5.53,6.52,6.01,6.83
Florida,3.89,3.64,3.8,3.9,4.05,4.3,4.57,4.58,4.49,4.56,4.41,4.51,4.61,4.85,4.61
Georgia,4.19,4.26,4.29,4.24,4.1,4.59,4.93,4.86,4.62,4.33,4.41,4.6,4.81,4.7,4.96
Hawaii,5.15,4.74,4.73,5.18,5.62,5.96,6.05,6.4,6.15,5.56,5.95,5.9,5.63,6.42,7.12
Idaho,3.76,3.82,3.77,4.24,4.44,4.42,4.62,4.92,4.74,4.68,4.71,4.75,4.79,4.85,5.34
Illinois,4.61,4.62,4.27,4.52,4.61,4.84,4.87,5.25,5.33,5.29,5.07,5.06,5.17,5.39,5.49
Indiana,4.09,4.04,4.1,4.24,4.23,4.24,4.54,4.75,4.65,4.43,4.61,4.44,4.62,4.95,4.81
Iowa,4.1,4.1,4.1,4.14,4.34,4.65,4.81,4.89,5.01,5.07,4.9,5.02,5.34,6.02,5.78
Kansas,4.11,4.14,4.26,4.42,4.11,4.2,4.56,4.85,4.79,4.47,4.61,4.61,5,4.78,5.34
Kentucky,3.63,3.84,3.68,3.69,3.56,3.67,3.95,3.95,4.11,4.27,4.11,3.99,4.11,4.49,4.28
